pubmed,pubmed
448386,4136544
448386,46957
448386,4111204
712372,57446
712372,4100017
712372,1222577
712372,1206422
731246,46957
817289,4215541
817289,13744864
817289,4111204
817289,13812088
817289,4166405
817289,14238061
907387,4136544
907387,4418221
950571,4166405
950571,5684406
950571,1206422
990863,4176429
1148772,46957
1151395,5684406
1206424,1206422
1403086,14907713
1475953,1513431
1475953,2388783
1475953,2346150
1475953,1622302
1475954,3091631
1548502,13642112
1564475,46957
1564475,13406589
1564481,3806205
1564481,3091631
1564481,759371
1564481,63653
1564481,14589697
1564481,13770777
1564481,6728140
1564487,3074853
1564487,6464666
1583518,6685831
1619414,4136544
1619414,46957
1619415,4136544
1619415,46957
1619415,7159059
1619415,13357957
1619415,4215541
1619415,3746307
1619415,3572433
1619415,6707671
1619415,3973618
1619415,3361330
1619415,6842246
1619415,690638
1619415,4166405
1619415,31155
1619415,311378
1619415,4458060
1751894,7301062
1751894,53547
1751894,4137603
1751894,6020206
1751894,6022165
1850450,4729191
1850450,2191084
1850450,6742780
1850450,3296090
1850450,2904573
1865206,2567056
1865206,2767623
1865206,687980
1955912,2341842
1988464,6248568
1988464,2301926
2191084,4729191
2191084,14023454
2191084,7115146
2191084,3296090
2191084,2904573
2341842,3806205
2341842,7301062
2341842,3794728
2341842,759371
2341842,4137603
2341842,866038
2341842,63653
2341842,3380274
2341842,6646380
2341842,6345728
2341842,3981170
2341842,311378
2341842,6456227
2403481,4136544
2403481,7452330
2403481,7463271
2403481,3822667
2403481,641548
2515185,3454672
2695652,4136544
2695652,3288723
2695652,13764297
2695652,5684406
2746267,4215541
2746267,57446
2746267,4022286
2746267,3380274
2746267,7208746
2769276,4136544
2769276,46957
2769276,7159060
2769276,7159059
2769276,13357957
2769276,6188807
2769276,589428
2769276,6151042
2769276,6020206
2769276,644064
2769276,51187
2769276,4124416
2769277,3091631
2769277,13770777
2769277,3964861
2795042,4136544
2795042,7159059
2795042,13357957
2795042,4215541
2795042,3806205
2795042,4176429
2795042,7451661
2795042,3361330
2795042,14350067
2795042,6975095
2926419,7159059
2926419,903803
2926419,739268
2926419,4058674
2926419,7143298
2926419,51187
2926419,6694798
2926419,6816334
2926420,46957
2926420,7069477
3100816,4729191
3100816,13357957
3100816,4215541
3100816,7301062
3100816,53547
3100816,63653
3100816,7133350
3100816,14052038
3100816,6842246
3100816,31155
3100816,311378
3100816,13990135
3100816,6716596
3100816,4458060
3100816,681289
3225586,4136544
3225586,3806205
3225586,3794728
3225586,4022286
3225586,3981170
3225586,311378
3225586,1222577
3236022,4136544
3236022,4022286
3236022,16295959
3236022,7310407
3236022,311378
3236022,1222577
3236022,7205296
3343378,7159059
3343378,13357957
3343378,739268
3343378,4058674
3343378,644064
3343378,51187
3343378,632819
3351514,4136544
3351514,501342
3351514,3806205
3351514,13406589
3379426,4136544
3379426,3723178
3379426,6694798
3404166,1222577
3404166,1206422
3404171,7301062
3404171,759371
3404171,63653
3404171,3981170
3404171,13770777
3404190,46957
3404190,7301062
3404190,6453957
3404190,759371
3404190,690638
3408521,7301062
3408521,759371
3408521,63653
3408521,6456227
3572433,4136544
3572433,46957
3572433,7159059
3572433,13357957
3572433,501342
3572433,4137603
3572433,63653
3572433,3973618
3572433,4009193
3572433,6345728
3572433,6842246
3572433,31155
3572433,311378
3585348,4215541
3585348,6188807
3585348,4176429
3585348,53547
3585348,4137603
3585348,866038
3585348,5909768
3585348,6464666
3585348,13770777
3585348,7310407
3585348,6512553
3760892,7159060
3760892,7159059
3760892,739268
3760892,7054419
3760892,6581702
3760892,6581696
3760892,4058674
3760892,6151042
3760892,51187
3760892,13642112
3806110,3981170
3818982,7159059
3818982,13357957
3818982,589428
3818982,2581065
3958729,4136544
3958729,46957
3958729,7159060
3958729,7159059
3958729,13357957
3958729,4215541
3958729,739268
3958729,6151042
3958729,886355
3958729,644064
3958729,13642112
3958729,6816334
3973618,63653
3973618,5909768
3973618,690638
3973618,16295959
3973618,6254711
3973618,7276967
3973622,450225
3973622,4719695
4031942,7301062
4031942,53547
4031942,4137603
4031942,6646380
4031942,3981170
4031942,6464666
4031942,6512553
4087007,57446
4087007,450225
4123922,13357957
4123922,4176429
4123922,6020206
4123922,6022165
4123922,14350067
4176429,13357957
4176429,14350067
4844139,13744864
4844139,4166405
4844139,14238061
4959656,14152540
4959656,13406589
4977441,14152540
4977441,4957321
4994609,13789853
5045878,14907713
5045878,14152540
5045878,13214267
5298254,13770777
5909768,13812088
5909768,13770777
5909768,14238061
5910582,14152540
6020206,13357957
6020206,13990135
6417279,7190235
6417279,6848681
6419959,589428
6419959,4101614
6419959,4124416
6512553,4137603
6512553,63653
6663307,7301062
6663307,6453957
6663307,63653
6663307,5909768
6663307,6842246
6663307,4166405
6663307,16295959
